PlanningAlgorithm,goalNumber,distanceTravelled,totalAngleTurned,timeForPath,plannerQueueLength,plannerCellsVisited,plannerPathCardinality,plannerPathCost,plannerAngleTurned
Breadth First (FIFO),6,17.00989065816549,474.34337084777417,113.70016288757324,83,2541,64,77.02996284693793,6.0246948326623055
Breadth First (FIFO),1,1.1147781841154705,90.52190482662971,9.88603401184082,32,80,5,4.505679012345679,0.05789399799283501
Breadth First (FIFO),2,7.891095781796034,150.79525013862383,52.29494094848633,46,679,28,36.012273397173516,0.8675257569863959
Breadth First (FIFO),3,18.735427963676344,248.62299850031516,124.40846800804138,91,2898,68,84.80169022985707,189.1184519341819
Breadth First (FIFO),4,14.409410384291773,528.1105100559158,94.39893507957458,108,2194,47,65.34608046292236,235.63725239580336
Breadth First (FIFO),5,14.686859379776777,480.4546039522809,101.68928003311157,120,3633,52,66.77897418047431,11.114853410179819
Depth First (LIFO),1,25.461225145718835,2155.0077094245457,188.30998492240906,1060,4466,92,118.36786104507812,3.9433294127724423
Depth First (LIFO),2,97.98329536234624,38372.803034362674,707.2073860168457,1387,4033,355,453.80883655368604,403.84442346292883
Dijkstra's,1,23.406659901017186,368.9381702837608,165.68477606773376,93,3311,92,105.30366756278436,1.0809241866606953
Dijkstra's,2,28.917109499197053,6774.048554316695,194.41037702560425,123,4442,103,130.7584783290288,375.496118076577
Dijkstra's,3,18.11286188798888,542.0711565444251,122.31150197982788,98,2835,68,82.00222019793698,186.74383730272422
Dijkstra's,4,12.573307940786158,330.60762676449815,87.40701413154602,134,2189,47,56.9476703671621,198.12088268031204
Dijkstra's,5,13.904301740655981,523.318643867581,98.49089288711548,163,3706,52,63.04634747124752,3.5798212164920926
Dijkstra's,6,16.350646485352588,295.76344281741723,114.08162379264832,99,2518,64,74.23049281501784,3.814074834290352
Dijkstra's,7,20.336023894099785,477.190512352321,144.0085220336914,124,4119,80,92.25320886440062,190.5163913162288
