PlanningAlgorithm,goalNumber,distanceTravelled,totalAngleTurned,timeForPath,plannerQueueLength,plannerCellsVisited,plannerPathCardinality,plannerPathCost,plannerAngleTurned
A* Algorithm (Heuristic: Octile),1,23.471430393491463,265.0893982274101,17.08897089958191,119,919,92,105.30366756278436,225.0
A* Algorithm (Heuristic: Octile),2,28.849675808727543,1847.9760759292224,45.84805393218994,263,3852,103,130.7584783290288,765.0
A* Algorithm (Heuristic: Octile),3,18.085633578647176,697.1979925676684,17.80001997947693,179,851,68,82.00222019793698,270.0
A* Algorithm (Heuristic: Octile),4,12.552057307963157,405.33046186780786,17.34877300262451,118,565,47,56.9476703671621,270.0
A* Algorithm (Heuristic: Octile),5,14.02109338095993,1150.8216083060013,28.598315954208374,142,889,52,63.04634747124753,450.0
A* Algorithm (Heuristic: Octile),6,16.539266453627768,297.7249044144274,12.153343200683594,123,1190,64,74.23049281501784,135.0
A* Algorithm (Heuristic: Octile),7,20.372206446744812,516.8491039339237,22.09232187271118,275,1423,80,92.25320886440062,360.0
A* Algorithm (Heuristic: Manhattan),1,23.435341910363558,265.52140556250725,17.65684700012207,136,656,92,105.30366756278436,225.0
A* Algorithm (Heuristic: Manhattan),2,29.008639760620152,873.772513769241,10.65578293800354,623,3564,115,131.21132188377211,90.0
A* Algorithm (Heuristic: Manhattan),3,18.122997536087286,420.3147545220021,22.052354097366333,210,828,68,82.00222019793698,315.0
A* Algorithm (Heuristic: Manhattan),4,12.516841892158093,345.62200180318894,17.3980131149292,184,286,47,56.9476703671621,225.0
A* Algorithm (Heuristic: Manhattan),5,13.956136472651782,314.95716888590357,15.350206136703491,272,465,52,63.04634747124753,180.0
A* Algorithm (Heuristic: Manhattan),6,16.363261669147835,243.68236744393892,10.114864110946655,271,854,64,74.23049281501785,90.0
A* Algorithm (Heuristic: Manhattan),7,20.330468341377706,471.7310288377849,23.392109870910645,188,650,80,92.2532088644006,315.0
A* Algorithm (Heuristic: 2*Octile),1,23.485259247206546,273.7674510726084,16.75401282310486,199,339,92,105.30366756278436,225.0
A* Algorithm (Heuristic: 2*Octile),2,31.424650743923745,1758.769923265,49.702666997909546,374,824,104,138.88357316191542,765.0
A* Algorithm (Heuristic: 2*Octile),3,21.370457579849454,990.9521295215843,50.87532186508179,348,480,68,95.9995703575375,855.0
A* Algorithm (Heuristic: 2*Octile),4,12.591874283832242,631.0512853776994,11.711020946502686,107,159,47,56.9476703671621,135.0
A* Algorithm (Heuristic: 2*Octile),5,14.657405192878281,676.0175877165073,16.15242099761963,136,219,57,66.34555454341287,225.0
A* Algorithm (Heuristic: 2*Octile),6,20.166172427218854,338.72564296744343,17.644448041915894,176,426,76,90.54699988397502,225.0
A* Algorithm (Heuristic: 2*Octile),7,20.42523949080723,386.0818258204017,16.14778709411621,167,252,80,92.25320886440062,225.0
